Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.006,0.008,0.001,0.0,0.006,0.001,0.003,0.008,0.003
BE,0.0,0.0,0.0,0.0,0.003,0.0,0.005,0.029,0.006,0.007,0.003,0.012,0.002,0.008,0.001
BG,0.0,0.008,0.009,0.0,0.001,0.014,0.001,0.002,0.028,0.001,0.0,0.0,0.001,0.002,0.001
CH,,,,0.0,,,0.001,0.001,0.0,0.0,0.001,0.052,0.003,0.018,0.004
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.001,0.001,0.0,0.0,0.005,0.007,0.003
DE,0.0,0.0,0.014,0.004,0.0,0.0,0.03,0.065,0.014,0.012,0.027,0.01,0.02,0.027,0.071
DK,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.003,0.005,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.0
ES,0.0,0.029,0.0,0.006,0.001,0.0,0.005,0.011,0.002,0.007,0.001,0.001,0.002,0.0,0.0
FI,0.0,0.002,0.002,0.003,0.0,0.001,0.001,0.007,0.002,0.003,0.071,0.0,0.003,0.001,0.002
FR,0.0,,,,0.0,,0.016,0.034,0.007,0.005,0.014,0.004,0.018,0.008,0.005
GB,,0.0,0.0,0.001,0.0,0.0,0.01,0.01,0.005,0.006,0.02,0.006,0.008,0.018,0.002
GR,0.013,,0.002,0.0,0.0,0.0,0.005,0.009,0.001,0.0,0.0,0.0,0.001,0.006,0.001
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.013,0.0,0.0,0.0,0.0,0.005,0.006,0.003
IE,,,0.0,0.0,,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.002,0.005,0.001
IT,0.001,0.0,0.0,0.0,0.0,0.0,0.014,0.03,0.006,0.006,0.003,0.022,0.005,0.004,0.018
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
LU,,,,,,,0.002,0.021,0.002,0.009,0.002,0.003,0.001,0.005,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.001,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.008,0.007,0.007,0.001,0.0,0.002,0.253,0.303,0.268
NL,,,,,0.0,,0.003,0.006,0.002,0.007,0.002,0.001,0.002,0.01,0.002
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.014,0.003,0.001,0.001,0.001
PL,0.0,0.004,0.003,0.0,0.0,0.0,0.003,0.005,0.003,0.002,0.0,0.002,0.003,0.01,0.002
PT,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.0
RO,,0.044,0.003,0.0,0.0,0.01,0.001,0.006,0.003,0.001,0.001,0.0,0.001,0.004,0.001
