Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.002,0.002,0.001
BE,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.011,0.004,0.004,0.001,0.007,0.002,0.006,0.001
BG,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.018,0.004,0.004,0.002
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.003,0.002,0.001
DE,0.0,0.0,0.0,0.001,0.0,0.0,0.013,0.026,0.004,0.007,0.003,0.004,0.011,0.01,0.028
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.015,0.0,0.003,0.001,0.0,0.012,0.011,0.004,0.012,0.001,0.001,0.006,0.001,0.001
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.001,0.0,0.0
FR,0.0,,,,0.0,,0.017,0.022,0.004,0.002,0.002,0.001,0.016,0.012,0.005
GB,,0.0,0.0,0.001,0.0,0.001,0.003,0.004,0.002,0.001,0.003,0.003,0.006,0.008,0.001
GR,0.0,,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0
